Case ID;CSAT Rated Group Name;Group Name History;RESOLUTION GROUPS;RESOLUTION GROUPS BUCKETS;RESOLUTION TIME (Days);RESOLVED IN SLA;ISSUE CLASSIFICATION;FIRST TOUCH RESOLUTION;CSAT Rating Received;CLASSIFICATION;Start of Month
5008W000010P7lvQAC;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Other :: Other;1;4;PROMOTER;1/1/2023 00:00
5008W000010P9GUQA0;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Account General :: User Email Notifications;1;2;DETRACTOR;1/1/2023 00:00
5008W000010PPgdQAG;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,4;1;Payouts :: Payout Status;0;5;PROMOTER;1/1/2023 00:00
5008W000010PVAwQAO;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Payouts :: Payout Status;1;5;PROMOTER;1/2/2023 00:00
5008W000010Q1VBQA0;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;1,4;1;Payouts :: Bank Account and Card;1;4;PROMOTER;1/2/2023 00:00
5008W000010Q42zQAC;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Payouts :: Bank Account and Card;1;5;PROMOTER;1/2/2023 00:00
5008W000010Q95fQAC;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,2;1;Account General :: Other;1;1;DETRACTOR;1/2/2023 00:00
5008W000010QBgFQAW;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;End User Queries :: ;1;1;DETRACTOR;1/2/2023 00:00
5008W000010QBVqQAO;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;End User Queries :: ;0;1;DETRACTOR;1/2/2023 00:00
5008W000010QpiMQAS;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Payments :: Other;1;4;PROMOTER;1/2/2023 00:00
5008W000010QpLGQA0;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Payouts :: Payout Status;1;5;PROMOTER;1/2/2023 00:00
5008W000010QWAeQAO;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Account Onboarding :: Entity and Identity Data;1;5;PROMOTER;1/2/2023 00:00
5008W000011B6V6QAK;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Payouts :: Bank Account and Card;1;4;PROMOTER;1/2/2023 00:00
5008W000011Bd5IQAS;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Payments :: Declines and Payment Statuses;1;5;PROMOTER;1/2/2023 00:00
5008W000011BfqCQAS;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Other :: No question;1;5;PROMOTER;1/2/2023 00:00
5008W000011BGb8QAG;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Account Onboarding :: Entity and Identity Data;0;1;DETRACTOR;1/2/2023 00:00
5008W000011BL4tQAG;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Account Onboarding :: Entity and Identity Data;1;1;DETRACTOR;1/2/2023 00:00
5008W000011BPeJQAW;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Other :: Other;1;5;PROMOTER;1/2/2023 00:00
5008W000011CM8oQAG;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Account Onboarding :: Entity and Identity Data;0;5;PROMOTER;1/2/2023 00:00
5008W000011CMF1QAO;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;1,1;1;Account General :: Login;0;1;DETRACTOR;1/2/2023 00:00
5008W000011DceuQAC;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,0;1;Financial Reports :: Other;1;4;PROMOTER;1/2/2023 00:00
5008W000011DctrQAC;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,1;1;Other :: Other;1;5;PROMOTER;1/2/2023 00:00
5008W000011DeatQAC;BR Support T1;BR Support T1,BR Support T1;2;B: 2 GROUPS;0,6;1;Account General :: Other;0;5;PROMOTER;1/2/2023 00:00
